text,intend,category
Find information on classic literature on the web.,Quary,0
Search for online dating profile tips.,Quary,0
How to search for travel podcasts on the internet?,Quary,0
Search for online freelancing platforms.,Quary,0
I want to Google information about marine biology.,Quary,0
Web search for eco-friendly home improvement ideas.,Quary,0
Open my email inbox.,Email,1
Compose an email to John about our meeting.,Email,1
Send an email to Sarah regarding the project update.,Email,1
Write an email to mom about our family gathering.,Email,1
I need to open my email account.,Email,1
Send a message to David with the latest report attached.,Email,1
Compose an email to the support team about a technical issue.,Email,1
Email Alice about the upcoming event details.,Email,1
Let's open the email application.,Email,1
Write an email to the HR department regarding vacation days.,Email,1
Send an email to the client with the proposal attached.,Email,1
Email Mark to confirm our lunch appointment.,Email,1
Open my inbox and check for new emails.,Email,1
Compose an email to Jane about the weekend plans.,Email,1
Send a message to the marketing team about the campaign.,Email,1
Write an email to Tom with the project timeline.,Email,1
I need to send an email to support@company.com.,Email,1
Email Lisa about the travel itinerary.,Email,1
Open the email client and access my sent items.,Email,1
Send an email to the sales department regarding leads.,Email,1
Compose an email to Susan with the agenda attached.,Email,1
Email Bob about the changes in the schedule.,Email,1
Open the email application on my computer.,Email,1
Write an email to Alex with the financial report.,Email,1
Send a message to the IT department for technical assistance.,Email,1
I need to open my Gmail account.,Email,1
Email Emily about the client's feedback.,Email,1
Compose an email to the manager about the quarterly report.,Email,1
Send an email to Peter with the presentation slides.,Email,1
Email Jennifer regarding the team meeting.,Email,1
Open Outlook and access my drafts folder.,Email,1
Send an email to support with a screenshot attached.,Email,1
Write an email to Daniel about the product launch.,Email,1
Email Michelle about the customer complaints.,Email,1
I need to open my Yahoo Mail.,Email,1
Compose an email to HR for the job application status.,Email,1
Send a message to the supplier about the order details.,Email,1
Email Richard with the contract agreement.,Email,1
Open the email client on my mobile device.,Email,1
Send an email to the finance department about expenses.,Email,1
Write an email to Jessica regarding the training session.,Email,1
Email Kevin to confirm the reservation.,Email,1
Open my email account and search for unread emails.,Email,1
Compose an email to support about the billing issue.,Email,1
Send an email to Amanda with the meeting minutes.,Email,1
Email George about the conference registration.,Email,1
I need to open my Apple Mail.,Email,1
Send a message to the customer with the invoice attached.,Email,1
Write an email to Rachel about the marketing strategy.,Email,1
Email Patrick regarding the project milestones.,Email,1
Open the email app and check for attachments.,Email,1
Send an email to the development team about the bug report.,Email,1
Compose an email to Mary with the survey results.,Email,1
Email Chris about the team building event.,Email,1
Open my email inbox and filter by unread messages.,Email,1
Send an email to the CEO with the annual report.,Email,1
Write an email to Laura about the product launch plan.,Email,1
Email Susan to schedule a meeting.,Email,1
I need to open my email on my smartphone.,Email,1
Send a message to the vendor with the payment details.,Email,1
Compose an email to John with the contract terms.,Email,1
Email Michael about the customer satisfaction survey.,Email,1
Open the email client and check for spam messages.,Email,1
Send an email to the legal department for contract review.,Email,1
Write an email to Karen about the team's performance.,Email,1
Email James to discuss the budget allocation.,Email,1
Open my email application and organize my folders.,Email,1
Send an email to support with the error log attached.,Email,1
Compose an email to Emily about the sales strategy.,Email,1
Email Laura about the marketing campaign update.,Email,1
I need to open my email on my tablet.,Email,1
Send a message to the HR manager regarding benefits.,Email,1
Write an email to David about the project kickoff.,Email,1
Email Sarah about the client meeting agenda.,Email,1
Open the email client and mark emails as important.,Email,1
Send an email to the customer with the product brochure.,Email,1
Compose an email to Mark about the team's achievements.,Email,1
Email Jane about the departmental goals.,Email,1
Open my email settings to configure notifications.,Email,1
Send an email to the supplier with the order confirmation.,Email,1
Write an email to Tom about the training schedule.,Email,1
Email Lisa to discuss the marketing budget.,Email,1
I need to open my email on my desktop computer.,Email,1
Send a message to the IT support team for system issues.,Email,1
Compose an email to Susan about the project timeline.,Email,1
Email Bob about the new product launch date.,Email,1
"Hi, how's your day going?",Random,2
Tell me a joke.,Random,2
What's your favorite color?,Random,2
Do you have any siblings?,Random,2
What's the meaning of life?,Random,2
How do you like to spend your free time?,Random,2
What's the weather like today?,Random,2
Can you recommend a good book to read?,Random,2
What's the capital of France?,Random,2
What's your opinion on artificial intelligence?,Random,2
Tell me something interesting.,Random,2
Do you believe in aliens?,Random,2
What's your favorite movie?,Random,2
Who is your favorite actor?,Random,2
What's the best way to make pancakes?,Random,2
What's the latest news?,Random,2
Have you ever traveled to space?,Random,2
Do you play any musical instruments?,Random,2
What's the most beautiful place you've seen?,Random,2
How do you stay motivated?,Random,2
What's your favorite food?,Random,2
Do you have any pet peeves?,Random,2
What's the meaning of love?,Random,2
What's your favorite song?,Random,2
Tell me about your hobbies.,Random,2
Do you like to cook?,Random,2
What's your favorite season?,Random,2
Can you recommend a good restaurant?,Random,2
What's your favorite animal?,Random,2
Tell me a fun fact.,Random,2
What's the best way to learn a new language?,Random,2
What's your favorite sport?,Random,2
Do you like to dance?,Random,2
What's the most important thing in life?,Random,2
Have you ever met a celebrity?,Random,2
What's your favorite type of music?,Random,2
Tell me a riddle.,Random,2
What's the key to happiness?,Random,2
Do you believe in ghosts?,Random,2
What's your favorite holiday?,Random,2
What's the secret to a long and happy life?,Random,2
What's the best way to stay healthy?,Random,2
What's your favorite video game?,Random,2
What's the most challenging thing you've ever done?,Random,2
What's your favorite dessert?,Random,2
Tell me a funny story.,Random,2
What's the best way to relax?,Random,2
What's your favorite book genre?,Random,2
Do you have any hidden talents?,Random,2
What's the most valuable lesson you've learned?,Random,2
What's your favorite board game?,Random,2
What's the best way to make friends?,Random,2
What's your favorite TV show?,Random,2
Tell me about a dream you've had.,Random,2
What's the secret to a successful career?,Random,2
Do you believe in fate?,Random,2
What's your favorite childhood memory?,Random,2
What's the best way to overcome challenges?,Random,2
What's your favorite place to travel to?,Random,2
What's the most adventurous thing you've done?,Random,2
What's the best way to learn from failure?,Random,2
What's your favorite app?,Random,2
Tell me a random fact about science.,Random,2
What's the key to a strong relationship?,Random,2
Do you believe in time travel?,Random,2
What's your favorite historical period?,Random,2
What's the best way to make someone smile?,Random,2
What's your favorite type of art?,Random,2
Tell me about a recent accomplishment.,Random,2
What's the secret to good communication?,Random,2
Do you believe in karma?,Random,2
What's your favorite form of entertainment?,Random,2
What's the best way to stay positive?,Random,2
What's your favorite quote?,Random,2
What's the most unusual thing you've ever eaten?,Random,2
What's the best way to handle stress?,Random,2
What's your favorite place in nature?,Random,2
What's the most inspiring person you know?,Random,2
What's the best way to learn about other cultures?,Random,2
What's your favorite board game?,Random,2
Tell me a random fact about history.,Random,2
What's the secret to finding purpose in life?,Random,2
Do you believe in destiny?,Random,2
What's your favorite childhood game?,Random,2
What's the best way to express creativity?,Random,2
What's your favorite genre of movies?,Random,2
Tell me about a recent travel experience.,Random,2
What's the key to personal growth?,Random,2
Do you believe in parallel universes?,Random,2
What's your favorite era in fashion?,Random,2
What's the best way to show kindness to others?,Random,2
What's your favorite invention of all time?,Random,2
What's the most unusual place you've been to?,Random,2
What's the secret to a good sense of humor?,Random,2
Do you believe in the power of dreams?,Random,2
What's your favorite childhood toy?,Random,2
What's the best way to learn about history?,Random,2
Add a new task for tomorrow's meeting at 10 AM.,Task,3
Schedule a reminder to buy groceries at 5 PM today.,Task,3
Set an alarm for my dentist appointment on Friday at 3 PM.,Task,3
Create a task to complete the project proposal by next week.,Task,3
Remind me to call mom in 30 minutes.,Task,3
Add 'Submit expense report' as a task for this week.,Task,3
Set an alarm to wake up at 7 AM tomorrow.,Task,3
Schedule a reminder for the doctor's appointment on Monday.,Task,3
Add 'Pay bills' to my task list for the end of the month.,Task,3
Set an alarm to take medication at 9 AM every day.,Task,3
Create a task to clean the house this weekend.,Task,3
Remind me to send the client an email at 2 PM.,Task,3
Schedule a reminder for the team meeting at 2:30 PM.,Task,3
Add 'Buy a birthday gift' to my to-do list for next week.,Task,3
Set an alarm for the weekly status report at 4 PM on Fridays.,Task,3
Create a task to book flight tickets for the vacation.,Task,3
Remind me to water the plants in the evening.,Task,3
Schedule a reminder to pick up the dry cleaning tomorrow.,Task,3
Add 'Prepare presentation' to my tasks for the upcoming conference.,Task,3
Set an alarm to go for a run at 6 AM daily.,Task,3
Create a task to review the quarterly financial report.,Task,3
Remind me to take out the trash at 7 PM tonight.,Task,3
Schedule a reminder for the online webinar at 3 PM.,Task,3
Add 'Buy anniversary gift' to my to-do list for next month.,Task,3
Set an alarm to pay rent on the 1st of every month.,Task,3
Create a task to research vacation destinations for the summer.,Task,3
Remind me to call the IT support team at 10 AM.,Task,3
Schedule a reminder for the dentist appointment next Tuesday.,Task,3
Add 'Complete online course' as a task for this semester.,Task,3
Set an alarm to exercise for 30 minutes at 8 AM daily.,Task,3
Create a task to organize the garage this weekend.,Task,3
Remind me to review the project proposal at 2 PM.,Task,3
Schedule a reminder for the team-building event on Friday.,Task,3
Add 'Buy groceries for the party' to my to-do list for next week.,Task,3
Set an alarm to take vitamins at 10 AM every day.,Task,3
Create a task to update the website content.,Task,3
Remind me to call the travel agency at 11 AM.,Task,3
Schedule a reminder for the doctor's checkup next month.,Task,3
Add 'Prepare for the interview' as a task for this week.,Task,3
Set an alarm to practice the piano at 4 PM daily.,Task,3
Create a task to plan a surprise birthday party.,Task,3
Remind me to send the monthly report at 3 PM.,Task,3
Schedule a reminder for the conference call at 10:30 AM.,Task,3
Add 'Buy a wedding gift' to my to-do list for next month.,Task,3
Set an alarm to take the dog for a walk at 7 AM every day.,Task,3
Create a task to review the marketing campaign.,Task,3
Remind me to pick up the kids from school at 3:30 PM.,Task,3
Schedule a reminder for the dentist appointment next week.,Task,3
Add 'Research new project ideas' as a task for this month.,Task,3
Set an alarm to water the garden at 6 PM daily.,Task,3
Create a task to declutter the closet this weekend.,Task,3
Remind me to pay the credit card bill at 12 PM.,Task,3
Schedule a reminder for the webinar on social media trends.,Task,3
Add 'Buy holiday decorations' to my to-do list for next month.,Task,3
Set an alarm to take medication at 9 AM every day.,Task,3
Create a task to draft a business proposal.,Task,3
Remind me to call the insurance company at 4 PM.,Task,3
Schedule a reminder for the project kickoff meeting at 9 AM.,Task,3
Add 'Plan family vacation' as a task for this month.,Task,3
Set an alarm to go to the gym at 5 PM daily.,Task,3
Create a task to brainstorm new product ideas.,Task,3
Remind me to send the client an update at 1 PM.,Task,3
Schedule a reminder for the training session at 2:30 PM.,Task,3
Add 'Buy school supplies' to my to-do list for next week.,Task,3
Set an alarm to take vitamins at 10 AM every day.,Task,3
Create a task to review the annual budget.,Task,3
Remind me to water the indoor plants in the morning.,Task,3
Schedule a reminder for the marketing presentation at 4 PM.,Task,3
Add 'Plan a surprise date night' as a task for this month.,Task,3
Set an alarm to pay utility bills on the 15th of every month.,Task,3
Create a task to research vacation destinations for the holidays.,Task,3
Remind me to call the HR department at 11 AM.,Task,3
Schedule a reminder for the team-building workshop next week.,Task,3
Add 'Buy ingredients for a new recipe' to my to-do list for next week.,Task,3
Set an alarm to practice coding at 2 PM daily.,Task,3
Create a task to update the company's social media profiles.,Task,3
Remind me to send birthday wishes to a friend at 8 AM.,Task,3
Schedule a reminder for the doctor's appointment next month.,Task,3
Add 'Plan a surprise party for a colleague' as a task for this month.,Task,3
Set an alarm to take medication at 9 AM every day.,Task,3
Open YouTube and play the latest music video.,Youtube,4
Search YouTube for funny cat videos.,Youtube,4
Find information about space exploration on YouTube.,Youtube,4
Open YouTube and watch a tutorial on web development.,Youtube,4
I want to watch a YouTube video about cooking recipes.,Youtube,4
Search for the best travel vlogs on YouTube.,Youtube,4
Play the latest movie trailers on YouTube.,Youtube,4
Find YouTube channels for learning foreign languages.,Youtube,4
I need to open YouTube and watch tech product reviews.,Youtube,4
Search YouTube for cute puppy videos.,Youtube,4
Open YouTube and play a documentary on wildlife.,Youtube,4
Find information about DIY home improvement on YouTube.,Youtube,4
Watch a YouTube video about gardening tips.,Youtube,4
I want to open YouTube and watch stand-up comedy.,Youtube,4
Search for yoga workout videos on YouTube.,Youtube,4
Play music from my favorite artist on YouTube.,Youtube,4
Find YouTube tutorials on photography techniques.,Youtube,4
I need to open YouTube and watch motivational speeches.,Youtube,4
Search YouTube for travel destination guides.,Youtube,4
Open YouTube and play the history documentary.,Youtube,4
Watch makeup tutorials on YouTube.,Youtube,4
Find YouTube channels for learning coding.,Youtube,4
I want to open YouTube and watch highlights from a sports game.,Youtube,4
Search for science experiment videos on YouTube.,Youtube,4
Play the latest gaming trailers on YouTube.,Youtube,4
Find YouTube cooking channels for beginners.,Youtube,4
I need to open YouTube and watch fashion runway shows.,Youtube,4
Search YouTube for DIY crafting ideas.,Youtube,4
Open YouTube and play classical music.,Youtube,4
Watch educational videos on YouTube.,Youtube,4
Find YouTube channels for learning about space.,Youtube,4
I want to open YouTube and watch funny prank videos.,Youtube,4
Search for workout routines on YouTube.,Youtube,4
Play travel vlogs from my favorite creator on YouTube.,Youtube,4
Find YouTube tutorials on graphic design.,Youtube,4
I need to open YouTube and watch TED Talks.,Youtube,4
Search YouTube for cute baby animal videos.,Youtube,4
Open YouTube and play a nature documentary.,Youtube,4
Watch art tutorials on YouTube.,Youtube,4
Find YouTube channels for learning a musical instrument.,Youtube,4
I want to open YouTube and watch cooking competition shows.,Youtube,4
Search for meditation and relaxation videos on YouTube.,Youtube,4
Play the latest music videos on YouTube.,Youtube,4
Find YouTube channels for learning about history.,Youtube,4
I need to open YouTube and watch inspirational stories.,Youtube,4
Search YouTube for travel tips and hacks.,Youtube,4
Open YouTube and play a science documentary.,Youtube,4
Watch DIY woodworking tutorials on YouTube.,Youtube,4
Find YouTube channels for learning about astronomy.,Youtube,4
I want to open YouTube and watch funny animal videos.,Youtube,4
Search for dance tutorials on YouTube.,Youtube,4
Play technology reviews on YouTube.,Youtube,4
Find YouTube channels for learning about psychology.,Youtube,4
I need to open YouTube and watch comedy sketches.,Youtube,4
Search YouTube for cooking techniques and tips.,Youtube,4
Open YouTube and play a wildlife documentary.,Youtube,4
Watch car repair tutorials on YouTube.,Youtube,4
Find YouTube channels for learning about philosophy.,Youtube,4
I want to open YouTube and watch magic tricks.,Youtube,4
Search for DIY home decor ideas on YouTube.,Youtube,4
Play the latest movie scenes on YouTube.,Youtube,4
Find YouTube channels for learning about science.,Youtube,4
I need to open YouTube and watch travel vlogs.,Youtube,4
Search YouTube for yoga and meditation sessions.,Youtube,4
Open YouTube and play live music performances.,Youtube,4
Watch beauty product reviews on YouTube.,Youtube,4
Find YouTube channels for learning about literature.,Youtube,4
I want to open YouTube and watch stand-up comedy shows.,Youtube,4
Search for workout challenges on YouTube.,Youtube,4
Play educational cartoons on YouTube.,Youtube,4
Find YouTube channels for learning about technology trends.,Youtube,4
I need to open YouTube and watch art exhibitions.,Youtube,4
Search YouTube for healthy cooking recipes.,Youtube,4
Open YouTube and play a space exploration documentary.,Youtube,4
Watch DIY home improvement tutorials on YouTube.,Youtube,4
Find YouTube channels for learning about mathematics.,Youtube,4
I want to open YouTube and watch skateboarding tricks.,Youtube,4
Search for gardening tips and tricks on YouTube.,Youtube,4
Play travel documentaries on YouTube.,Youtube,4
Find YouTube channels for learning about psychology.,Youtube,4
I need to open YouTube and watch cooking competition shows.,Youtube,4
Search YouTube for meditation and mindfulness sessions.,Youtube,4
Open YouTube and play guitar covers of popular songs.,Youtube,4
Watch technology unboxing videos on YouTube.,Youtube,4
Find YouTube channels for learning about philosophy.,Youtube,4
I want to open YouTube and watch DIY crafting tutorials.,Youtube,4
Search for dance choreography tutorials on YouTube.,Youtube,4
Play science experiment demonstrations on YouTube.,Youtube,4
Find YouTube channels for learning about space exploration.,Youtube,4
I need to open YouTube and watch funny animal videos.,Youtube,4
Search YouTube for drawing and painting tutorials.,Youtube,4
Open YouTube and play fashion runway shows.,Youtube,4
Watch motivational speeches on YouTube.,Youtube,4
Find YouTube channels for learning about history.,Youtube,4
I want to open YouTube and watch stand-up comedy specials.,Youtube,4
Search for workout routines and exercises on YouTube.,Youtube,4
Play live performances of classical music on YouTube.,Youtube,4
Find YouTube channels for learning about psychology topics.,Youtube,4
